Date,Close,High,Low,Open,Volume,BTC-INR
2022-05-05,2799536.25,3026144.0,2743441.25,3016948.25,3299441097033,BTC-INR
2022-05-06,2773460.75,2803417.0,2731946.75,2799386.25,2908486854090,BTC-INR
2022-05-07,2731985.5,2780309.75,2688804.75,2773582.5,1875800793713,BTC-INR
2022-05-08,2621124.25,2732061.25,2607091.25,2732061.25,2829200767989,BTC-INR
2022-05-09,2343955.75,2635168.25,2343955.75,2621182.0,4901564644382,BTC-INR
2022-05-10,2397189.5,2520167.25,2318014.0,2342153.25,4621694667072,BTC-INR
2022-05-11,2240213.5,2473947.75,2180697.0,2396670.0,5449410051691,BTC-INR
2022-05-12,2249575.25,2325151.75,2041319.75,2240242.75,5187912482429,BTC-INR
2022-05-13,2269045.25,2395102.75,2229054.5,2248271.0,3319608796470,BTC-INR
2022-05-14,2332441.75,2339534.75,2224088.0,2269242.0,2214553989821,BTC-INR
2022-05-15,2425725.25,2425963.75,2288001.25,2332234.25,2001893900923,BTC-INR
2022-05-16,2323509.75,2425743.0,2277143.5,2425668.0,2537551902321,BTC-INR
2022-05-17,2354129.0,2380004.75,2291525.75,2323470.0,2251658005293,BTC-INR
2022-05-18,2235024.75,2369051.0,2235024.75,2354022.5,2434633909200,BTC-INR
2022-05-19,2346976.5,2356070.25,2232781.5,2235031.5,2614785780511,BTC-INR
2022-05-20,2272360.75,2374389.0,2242632.0,2346727.75,2392873905170,BTC-INR
2022-05-21,2290374.5,2302564.25,2258871.25,2272292.25,1344303898381,BTC-INR
2022-05-22,2359751.0,2368053.0,2278153.75,2290393.75,1683336638657,BTC-INR
2022-05-23,2255952.5,2373997.75,2246386.75,2358636.25,2440819229665,BTC-INR
2022-05-24,2297686.5,2306888.75,2232257.5,2256124.25,2062221591558,BTC-INR
2022-05-25,2290978.0,2337498.25,2279860.5,2297496.75,2133094711246,BTC-INR
2022-05-26,2272028.0,2314071.75,2193052.0,2291165.25,2854807793298,BTC-INR
2022-05-27,2224139.25,2278222.25,2200757.0,2270779.5,2842136506986,BTC-INR
2022-05-28,2254898.75,2263633.5,2218467.0,2240806.5,1495755150908,BTC-INR
2022-05-29,2287722.5,2291283.5,2240729.0,2254617.25,1405754565433,BTC-INR
2022-05-30,2460497.25,2477504.75,2276669.0,2287521.0,3046151703792,BTC-INR
2022-05-31,2467059.75,2503425.25,2430762.25,2460301.5,2602540226331,BTC-INR
2022-06-01,2311915.25,2488198.25,2288485.25,2467078.5,3191458257657,BTC-INR
2022-06-02,2357571.25,2368191.25,2299752.25,2311590.0,2250483123929,BTC-INR
2022-06-03,2307865.0,2373037.0,2282082.75,2357595.75,2033693558623,BTC-INR
2022-06-04,2317820.5,2325407.25,2291985.5,2308000.75,1288806940221,BTC-INR
